name,longitude,latitude,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean ,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa ,income_level
Andorra,1.5218,42.5075,0,1,0,0,0,0,0,4
United Arab Emirates,54.3705,24.4764,0,0,0,1,0,0,0,4
Afghanistan,69.1761,34.5228,0,0,0,0,0,1,0,1
Antigua and Barbuda,-61.8456,17.1175,0,0,1,0,0,0,0,4
Albania,19.8172,41.3317,0,1,0,0,0,0,0,3
Armenia,44.50899999999999,40.1596,0,1,0,0,0,0,0,3
Angola,13.242,-8.81155,0,0,0,0,0,0,1,2
Argentina,-58.4173,-34.6118,0,0,1,0,0,0,0,3
American Samoa,-170.69099999999997,-14.2846,1,0,0,0,0,0,0,3
Austria,16.3798,48.2201,0,1,0,0,0,0,0,4
Australia,149.129,-35.282,1,0,0,0,0,0,0,4
Aruba,-70.0167,12.5167,0,0,1,0,0,0,0,4
Azerbaijan,49.8932,40.3834,0,1,0,0,0,0,0,3
Bosnia and Herzegovina,18.4214,43.8607,0,1,0,0,0,0,0,3
Barbados,-59.6105,13.0935,0,0,1,0,0,0,0,4
Bangladesh,90.4113,23.7055,0,0,0,0,0,1,0,2
Belgium,4.36761,50.8371,0,1,0,0,0,0,0,4
Burkina Faso,-1.53395,12.3605,0,0,0,0,0,0,1,1
Bulgaria,23.3238,42.7105,0,1,0,0,0,0,0,3
Bahrain,50.5354,26.1921,0,0,0,1,0,0,0,4
Burundi,29.3639,-3.3784,0,0,0,0,0,0,1,1
Benin,2.6323,6.4779,0,0,0,0,0,0,1,1
Bermuda,-64.706,32.3293,0,0,0,0,1,0,0,4
Brunei Darussalam,114.946,4.9419900000000005,1,0,0,0,0,0,0,4
Bolivia,-66.1936,-13.9908,0,0,1,0,0,0,0,2
Brazil,-47.9292,-15.7801,0,0,1,0,0,0,0,3
"Bahamas, The",-77.339,25.0661,0,0,1,0,0,0,0,4
Bhutan,89.6177,27.5768,0,0,0,0,0,1,0,2
Botswana,25.9201,-24.6544,0,0,0,0,0,0,1,3
Belarus,27.5766,53.9678,0,1,0,0,0,0,0,3
